planningCadastre,215786
geoscientificInformation,215414
imageryBaseMapsEarthCover,201321
oceans,108287
climatologyMeteorologyAtmosphere,81363
environment,77224
location,31449
biota,22073
elevation,20891
transportation,17539
inlandWaters,16707
boundaries,13127
society,9853
farming,7853
structure,7446
utilitiesCommunication,6696
economy,5657
health,3643
geology,2028
intelligenceMilitary,1341
hydrogeology,861
prospection,478
geoscientificinformation,472
engineeringGeology,395
Oceans,393
exploration,377
Environment,345
datDai,303
mineralResources,297
Biota,269
ClimatologyMeteorologyAtmosphere,266
Instrumentos e Projetos Territoriais,261
GeoscientificInformation,235
geophysics,222
gold,152
nonMetallicMinerals,152
reserveBalansing,83
detailedExploration,69
projects,66
fluorspar,63
coal,57
tungsten,55
InlandWaters,54
feasibilityStudy,53
mineralMinerals,49
ImageryBaseMapsEarthCover,47
Elevation,44
preExploration,39
paleontology,37
fossilFuel,37
roadTransportation,35
report,32
-- Thématique ISO --,28
inlandwaters,28
geochemistry,27
assitenciasocial,27
non renseigné,26
quyHoachSuDungDat,26
Boundaries,25
Restrição Ambiental,25
keHoachSuDungDat,24
hienTrangSuDungDat,24
no category defined till now!,24
Structure,23
Saneamento Básico,22
rock,21
metallogeny,20
Transportation,20
geodetic,19
Hidrografia,19
railwayTransportation,17
Biotisch,16
Limites,15
copper,14
reserveReestimation,13
placer,13
Uso e Cobertura da Terra,13
Regularização Ambiental,13
arta,12
Sistema de Transporte,12
Abiotisch,11
disaster,11
water,11
Location,11
educacao,11
logistics,11
muro,10
marratxi,10
alaro,9
Relevo,9
Kwelders,8
Kwelderhoogte,8
tectonic,8
saneamento,8
hydrographicResource,8
planosMensura,8
andratx,8
campanet,8
felanitx,8
Geologia e Recursos Minerais,8
extraction,7
ulaanbaatar,7
esporles,7
bunyola,7
santJoan,7
binissalem,7
algaida,7
selva,7
pollença,7
llubi,7
Recuperação Ambiental,7
Altitude,6
administration-et-action-publique,6
Health,6
tecnologia,6
vuelos_fotog,6
alcudia,6
costitx,6
fornalutx,6
petra,6
Pontos de Referência,6
environnement,5
Landschappelijke waarden,5
energies-et-reseaux,5
additionalExploration,5
topology,5
ecology,5
map,5
calvia,5
llucmajor,5
Fiscalização Ambiental,5
infrastructures de transport,4
Transport,4
Menselijke medegebruik,4
imagerybaseMapsEarthCover,4
airTransportation,4
capdepera,4
Localidades,4
Vegetação,4
Educação Ambiental,4
Waterbodem,3
Vissen,3
Morfologie,3
Inlandwaters,3
socioeconomia,3
landDivision,3
fluvialTransportation,3
mancorDeLaVall,3
valldemosa,3
santaMariaDelCami,3
montuiri,3
lloseta,3
buger,3
banyalbufar,3
santaEugenia,3
estellencs,3
consell,3
lloretDeVistaAlegre,3
santaMargalida,3
ariany,3
Energia e Comunicações,3
Biodiversidade,3
Zeezoogdieren,2
Environnement,2
geoscientificInformation_NaturalHazards,2
geomorphology,2
factMaterials,2
dornogovi,2
plan,2
Monitoramento Ambiental,2
"Gestão de Resíduos Especiais, Industriais e da Mineração",2
inlandWater,2
Omgeving,2
bounderies,2
Binnenwater,2
Infrastructures de transport,1
Aménagement du territoire et cadastre,1
choice,1
### CATEGORIE ###,1
Duisternis,1
Rust,1
utilitiesCommunication_Utilities,1
environment_NatureProtection,1
geoscienceinformation,1
science,1
government,1
heavyConcentrate,1
darkhanUul,1
zinc,1
arkhangai,1
mongolian,1
zavkhan,1
uvurkhangai,1
dornod,1
imageryBasemapsEarthCover,1
imagery,1
Earth Cover,1
Base Maps,1
BGDS,1
streamflow,1
surface water (non-marine),1
drainage basins,1
gage,1
geoscientIficinformation,1
Society,1
Inland Waters,1
quyHoachKienTruc,1
quanLyDoThi,1
conservacion,1
